1777855166.1797662;w;keydown
1777855166.3047266;w;keyup
1777855166.7655761; ;keydown
1777855166.876617; ;keyup
1777855167.2537513;s;keydown
1777855167.3567204;s;keyup
1777855167.7557623;z;keydown
1777855167.874758;z;keyup
1777855168.1687663;c;keydown
1777855168.2807124;c;keyup
1777855168.6837707;z;keydown
1777855168.7631435;z;keyup
1777855169.1107569;e;keydown
1777855169.1947162;e;keyup
1777855169.5917265;b;keydown
1777855169.6907177;b;keyup
1777855170.1227098;r;keydown
1777855170.2097123;r;keyup
1777855170.6477232;z;keydown
1777855170.7098007;z;keyup
1777855171.0957208;e;keydown
1777855171.190712;e;keyup
1777855171.495726;s;keydown
1777855171.565698;s;keyup
1777855172.0470915;z;keydown
1777855172.1378558;z;keyup
1777855172.6277137;u;keydown
1777855172.7467086;u;keyup
1777855173.467762;n;keydown
1777855173.5687363;n;keyup
1777855174.221601;<ENTER>;keydown
1777855174.3416011;<ENTER>;keyup
1777855175.4647365;b;keydown
1777855175.560838;b;keyup
1777855175.9167511;i;keydown
1777855176.0217474;i;keyup
1777855176.350694;o;keydown
1777855176.456817;o;keyup
1777855176.766706;m;keydown
1777855176.8816984;m;keyup
1777855177.1427147;e;keydown
1777855177.248715;e;keyup
1777855177.6477327;t;keydown
1777855177.7277133;t;keyup
1777855178.02972;r;keydown
1777855178.1028323;r;keyup
1777855178.4605985;<ENTER>;keydown
1777855178.5915692;<ENTER>;keyup
1777855179.2817485;p;keydown
1777855179.4007409;p;keyup
1777855179.7457175;o;keydown
1777855179.8676896;o;keyup
1777855180.1907008;z;keydown
1777855180.28472;z;keyup
1777855180.5877588;n;keydown
1777855180.6957095;n;keyup
1777855180.9627106;i;keydown
1777855181.0887601;i;keyup
1777855181.5227506;e;keydown
1777855181.6041262;e;keyup
1777855181.9947774;j;keydown
1777855182.0567386;j;keyup
1777855182.3785954;<ENTER>;keydown
1777855182.48058;<ENTER>;keyup
