1780475016.5152173;<SHIFT>;keydown
1780475016.814663;W;keydown
1780475016.9338686;W;keyup
1780475016.9500363;<SHIFT>;keyup
1780475018.4014828; ;keydown
1780475018.4842632; ;keyup
1780475018.789471;s;keydown
1780475018.8828108;z;keydown
1780475018.946422;s;keyup
1780475018.9984205;z;keyup
1780475019.1626804;c;keydown
1780475019.2235126;z;keydown
1780475019.251271;c;keyup
1780475019.3323512;z;keyup
1780475019.4453764;e;keydown
1780475019.5209856;e;keyup
1780475020.0331;b;keydown
1780475020.097676;b;keyup
1780475020.1806557;r;keydown
1780475020.2690883;z;keydown
1780475020.3043895;r;keyup
1780475020.370847;z;keyup
1780475020.415526;e;keydown
1780475020.5008044;e;keyup
1780475020.7267287;s;keydown
1780475020.832552;z;keydown
1780475020.8503575;s;keyup
1780475020.9343545;z;keyup
1780475021.163178;y;keydown
1780475021.2016573;y;keyup
1780475021.5249603;n;keydown
1780475021.620328;i;keydown
1780475021.6383688;n;keyup
1780475021.6994374;i;keyup
1780475021.7319477;e;keydown
1780475021.8144464;e;keyup
1780475021.9444976; ;keydown
1780475022.0310073; ;keyup
1780475022.692434;c;keydown
1780475022.7670467;c;keyup
1780475022.879201;h;keydown
1780475022.9487295;h;keyup
1780475023.4563763;r;keydown
1780475023.5660095;r;keyup
1780475024.3106751;<BACKSPACE>;keydown
1780475024.4155903;<BACKSPACE>;keyup
1780475024.532004;z;keydown
1780475024.5879393;z;keyup
1780475025.149406;<BACKSPACE>;keydown
1780475025.2384746;<BACKSPACE>;keyup
1780475025.2972963;r;keydown
1780475025.3821814;z;keydown
1780475025.4154465;r;keyup
1780475025.4969614;z;keyup
1780475025.9736676;<CTRL_L>;keydown
1780475025.9885798;<ALT_GR>;keydown
1780475026.0380561;ą;keydown
1780475026.1332324;ą;keyup
1780475026.1814294;<CTRL_L>;keyup
1780475026.1814294;<ALT_GR>;keyup
1780475027.1152968;s;keydown
1780475027.278507;z;keydown
1780475027.3133545;s;keyup
1780475027.3975794;z;keyup
1780475027.527551;c;keydown
1780475027.6003542;z;keydown
1780475027.6309438;c;keyup
1780475027.6958282;z;keyup
1780475027.9720485; ;keydown
1780475028.0651498; ;keyup
1780475028.4801545;b;keydown
1780475028.5466082;b;keyup
1780475028.6770327;r;keydown
1780475028.7570112;z;keydown
1780475028.7837534;r;keyup
1780475028.8796434;z;keyup
1780475029.011013;m;keydown
1780475029.1126242;m;keyup
1780475029.1126242;i;keydown
1780475029.180311;i;keyup
1780475029.3123338; ;keydown
1780475029.394447; ;keyup
1780475029.4943502;w;keydown
1780475029.5814927;w;keyup
1780475029.6455588; ;keydown
1780475029.7481742; ;keyup
1780475030.2945814;t;keydown
1780475030.382231;t;keyup
1780475030.4794016;r;keydown
1780475030.5716972;z;keydown
