1777824240.534689; ź; keydown
1777824240.5983944; Key.ctrl_l; keyup
1777824240.599114; Key.alt_gr; keyup
1777824240.64584; x; keyup
1777824240.7021108; n; keydown
1777824240.7688212; i; keydown
1777824240.8112483; n; keyup
1777824240.8614063; i; keyup
1777824240.8763988; e; keydown
1777824240.960451; e; keyup
1777824240.9685109; j; keydown
1777824241.044397; Key.space; keydown
1777824241.065231; j; keyup
1777824241.151657; Key.space; keyup
1777824241.1914947; w; keydown
1777824241.28995; w; keyup
1777824241.2973723; Key.ctrl_l; keydown
1777824241.2981591; Key.alt_gr; keydown
1777824241.406911; ł; keydown
1777824241.4832413; ł; keyup
1777824241.500073; Key.ctrl_l; keyup
1777824241.500354; Key.alt_gr; keyup
1777824241.5727232; Key.ctrl_l; keydown
1777824241.576462; Key.alt_gr; keydown
1777824241.676622; ą; keydown
1777824241.7583373; Key.ctrl_l; keyup
1777824241.7591715; Key.alt_gr; keyup
1777824241.7682705; a; keyup
1777824241.8628278; c; keydown
1777824241.9226928; c; keyup
1777824242.0229702; z; keydown
1777824242.1021476; z; keyup
1777824242.1068363; Key.space; keydown
1777824242.2072978; Key.space; keyup
1777824242.2877965; t; keydown
1777824242.3502197; t; keyup
1777824242.3835378; Key.ctrl_l; keydown
1777824242.3856568; Key.alt_gr; keydown
1777824242.4983995; ę; keydown
1777824242.5914245; ę; keyup
1777824242.6360736; Key.ctrl_l; keyup
1777824242.6378646; Key.alt_gr; keyup
1777824242.753184; Key.space; keydown
1777824242.8521345; Key.space; keyup
1777824242.9091358; s; keydown
1777824243.0103986; s; keyup
1777824243.0134354; i; keydown
1777824243.1081996; i; keyup
1777824243.1119316; e; keydown
1777824243.1939356; e; keyup
1777824243.212378; Key.ctrl_l; keydown
1777824243.2136426; Key.alt_gr; keydown
1777824243.3189998; ć; keydown
1777824243.4145546; Key.ctrl_l; keyup
1777824243.4153929; Key.alt_gr; keyup
1777824243.4169116; c; keyup
1777824243.764169; ,; keydown
1777824243.851773; Key.space; keydown
1777824243.876184; ,; keyup
1777824243.9499567; Key.space; keyup
1777824244.099843; p; keydown
1777824244.1691458; r; keydown
1777824244.1860652; p; keyup
1777824244.2377117; r; keyup
1777824244.3959298; z; keydown
1777824244.4369934; z; keyup
1777824244.9602177; e; keydown
1777824245.0760903; e; keyup
1777824245.2614088; m; keydown
1777824245.3630939; m; keyup
1777824245.499437; y; keydown
1777824245.5732117; y; keyup
1777824245.6592095; Key.ctrl_l; keydown
1777824245.659902; Key.alt_gr; keydown
1777824245.7670982; ś; keydown
1777824245.880998; ś; keyup
1777824245.8843768; Key.ctrl_l; keyup
1777824245.8858275; Key.alt_gr; keyup
1777824246.0469267; l; keydown
1777824246.1328824; l; keyup
1777824246.2325308; Key.space; keydown
1777824246.318812; Key.space; keyup
1777824246.3781047; b; keydown
1777824246.4698167; Key.ctrl_l; keydown
1777824246.4701295; Key.alt_gr; keydown
1777824246.470828; None; keyup
1777824246.5489383; ł; keydown
1777824246.6316733; ł; keyup
1777824246.6350248; Key.ctrl_l; keyup
1777824246.6357017; Key.alt_gr; keyup
1777824246.7097728; Key.ctrl_l; keydown
1777824246.711803; Key.alt_gr; keydown
1777824246.8577058; ą; keydown
1777824246.9008925; Key.ctrl_l; keyup
1777824246.9014995; Key.alt_gr; keyup
1777824246.9599714; a; keyup
1777824247.1940882; d; keydown
1777824247.2786038; d; keyup
1777824247.449717; ,; keydown
1777824247.5603604; Key.space; keydown
1777824247.567674; ,; keyup
1777824247.6635756; Key.space; keyup
1777824247.779149; c; keydown
1777824247.851493; c; keyup
1777824247.8574426; h; keydown
1777824247.9408884; h; keyup
1777824248.0613482; Key.ctrl_l; keydown
1777824248.0626793; Key.alt_gr; keydown
1777824248.1716824; ł; keydown
1777824248.2367551; ł; keyup
1777824248.2552638; Key.ctrl_l; keyup
1777824248.2571988; Key.alt_gr; keyup
1777824248.3332446; o; keydown
1777824248.4302773; o; keyup
1777824248.4642606; Key.ctrl_l; keydown
1777824248.4654894; Key.alt_gr; keydown
1777824248.6021214; ń; keydown
1777824248.7196608; ń; keyup
1777824248.7532234; Key.ctrl_l; keyup
1777824248.7549384; Key.alt_gr; keyup
1777824249.026702; Key.space; keydown
1777824249.130027; Key.space; keyup
1777824249.2679687; Key.ctrl_l; keydown
1777824249.268796; Key.alt_gr; keydown
1777824249.310182; Key.ctrl_l; keyup
1777824249.3110697; Key.alt_gr; keyup
1777824249.4360888; d; keydown
1777824249.5313547; d; keyup
1777824249.644886; Key.ctrl_l; keydown
1777824249.6471517; Key.alt_gr; keydown
1777824249.7351162; ź; keydown
1777824249.8301764; ź; keyup
1777824249.8368266; Key.ctrl_l; keyup
1777824249.8375163; Key.alt_gr; keyup
1777824249.9679093; w; keydown
1777824250.0565789; i; keydown
1777824250.0672317; w; keyup
1777824250.1406186; Key.ctrl_l; keydown
1777824250.1409588; Key.alt_gr; keydown
1777824250.1569338; None; keyup
1777824250.2782757; ę; keydown
1777824250.3858361; ę; keyup
1777824250.3958924; Key.ctrl_l; keyup
1777824250.396745; Key.alt_gr; keyup
1777824250.536326; k; keydown
1777824250.6399684; k; keyup
1777824250.7182863; Key.space; keydown
1777824250.790064; Key.space; keyup
1777824250.8148437; i; keydown
1777824250.8916638; Key.space; keydown
1777824250.9377055; i; keyup
1777824251.0069046; g; keydown
1777824251.0075364; Key.space; keyup
1777824251.0743814; g; keyup
1777824251.1612883; r; keydown
1777824251.234976; a; keydown
1777824251.2511978; r; keyup
1777824251.3007457; a; keyup
1777824251.365806; i; keydown
1777824251.441617; i; keyup
1777824251.595565; Key.backspace; keydown
1777824251.6637108; Key.backspace; keyup
1777824251.6961117; f; keydown
1777824251.762598; i; keydown
1777824251.7749643; f; keyup
1777824251.8585036; i; keyup
1777824251.8931422; c; keydown
1777824251.9567046; c; keyup
1777824252.0503774; z; keydown
1777824252.1490517; n; keydown
1777824252.1510203; z; keyup
1777824252.2095428; i; keydown
1777824252.2608333; n; keyup
1777824252.2859788; e; keydown
1777824252.3076847; i; keyup
1777824252.3555386; e; keyup
1777824252.3588321; Key.space; keydown
1777824252.4579253; Key.space; keyup
1777824252.4853091; z; keydown
1777824252.544841; a; keydown
1777824252.572683; z; keyup
1777824252.6351745; a; keyup
1777824252.6575518; Key.ctrl_l; keydown
1777824252.6580157; Key.alt_gr; keydown
1777824252.9518347; ż; keydown
1777824253.0765162; ż; keyup
1777824253.0975742; Key.ctrl_l; keyup
1777824253.09819; Key.alt_gr; keyup
1777824253.163449; Key.ctrl_l; keydown
1777824253.1657422; Key.alt_gr; keydown
1777824253.3155134; ó; keydown
1777824253.3640094; ó; keyup
1777824253.4107964; Key.ctrl_l; keyup
1777824253.411457; Key.alt_gr; keyup
1777824253.5304353; Key.ctrl_l; keydown
1777824253.5308332; Key.alt_gr; keydown
1777824253.6756232; ł; keydown
1777824253.7491984; ł; keyup
1777824253.790494; Key.ctrl_l; keyup
1777824253.7910082; Key.alt_gr; keyup
1777824253.9455109; Key.ctrl_l; keydown
1777824253.9459968; Key.alt_gr; keydown
1777824254.2696853; ć; keydown
1777824254.3762305; ć; keyup
1777824254.3793418; Key.ctrl_l; keyup
1777824254.380516; Key.alt_gr; keyup
1777824254.455987; Key.space; keydown
1777824254.554264; Key.space; keyup
1777824254.6401343; f; keydown
1777824254.7433984; f; keyup
1777824254.7860873; u; keydown
1777824254.8616316; u; keyup
1777824254.9407985; z; keydown
1777824255.0310843; j; keydown
1777824255.0377038; z; keyup
1777824255.1080444; j; keyup
1777824255.1420248; Key.ctrl_l; keydown
1777824255.1450472; Key.alt_gr; keydown
1777824255.2587392; ę; keydown
1777824255.3543143; Key.ctrl_l; keyup
1777824255.354597; Key.alt_gr; keyup
1777824255.3623428; e; keyup
1777824255.4517152; Key.space; keydown
1777824255.5655804; Key.space; keyup
1777824255.6579032; p; keydown
1777824255.7359338; r; keydown
1777824255.7415383; p; keyup
1777824255.8234437; r; keyup
1777824255.8410637; o; keydown
1777824255.9169683; o; keyup
1777824256.000437; j; keydown
1777824256.0670397; e; keydown
1777824256.0706575; j; keyup
1777824256.1583273; e; keyup
1777824256.1894932; k; keydown
1777824256.266496; t; keydown
1777824256.26933; k; keyup
1777824256.3503878; t; keyup
1777824256.3599427; Key.ctrl_l; keydown
1777824256.3617797; Key.alt_gr; keydown
1777824256.410704; ó; keydown
1777824256.4756317; Key.ctrl_l; keyup
1777824256.4768553; Key.alt_gr; keyup
1777824256.4864376; o; keyup
1777824256.530513; w; keydown
1777824256.6468947; w; keyup
1777824256.762843; .; keydown
1777824256.8403008; .; keyup
1777824257.0555873; Key.enter; keydown
1777824257.1364613; Key.enter; keyup
