1777824282.5323539; k; keydown
1777824282.6084185; k; keyup
1777824282.6708124; a; keydown
1777824282.7549243; a; keyup
1777824282.8163438; w; keydown
1777824282.9052227; a; keydown
1777824282.9581861; w; keyup
1777824283.0003195; a; keyup
1777824283.1457555; .; keydown
1777824283.216466; .; keyup
1777824283.3502254; Key.enter; keydown
1777824283.4688182; Key.enter; keyup
1777824284.0318198; Key.shift; keydown
1777824284.1613164; P; keydown
1777824284.2541363; P; keyup
1777824284.2589042; Key.shift; keyup
1777824284.324122; Key.ctrl_l; keydown
1777824284.324791; Key.alt_gr; keydown
1777824284.4113536; ó; keydown
1777824284.5013707; ó; keyup
1777824284.5041611; Key.ctrl_l; keyup
1777824284.5051126; Key.alt_gr; keyup
1777824284.5661857; Key.ctrl_l; keydown
1777824284.5666888; Key.alt_gr; keydown
1777824284.6553211; ź; keydown
1777824284.7511716; Key.ctrl_l; keyup
1777824284.752147; Key.alt_gr; keyup
1777824284.7684393; x; keyup
1777824284.794397; n; keydown
1777824284.8542984; i; keydown
1777824284.9002593; n; keyup
1777824284.9549603; i; keyup
1777824284.9621367; e; keydown
1777824285.0142753; j; keydown
1777824285.0570323; e; keyup
1777824285.106135; Key.space; keydown
1777824285.1328948; j; keyup
1777824285.2057734; Key.space; keyup
1777824285.231203; w; keydown
1777824285.306872; Key.ctrl_l; keydown
1777824285.3074276; Key.alt_gr; keydown
1777824285.3291776; None; keyup
1777824285.3751147; ł; keydown
1777824285.4632268; ł; keyup
1777824285.4821281; Key.ctrl_l; keyup
1777824285.4835284; Key.alt_gr; keyup
1777824285.5403943; Key.ctrl_l; keydown
1777824285.5413003; Key.alt_gr; keydown
1777824285.648007; ą; keydown
1777824285.761055; ą; keyup
1777824285.7851424; Key.ctrl_l; keyup
1777824285.7866685; Key.alt_gr; keyup
1777824285.8453634; c; keydown
1777824285.9085948; c; keyup
1777824285.9981322; z; keydown
1777824286.080001; Key.space; keydown
1777824286.100845; z; keyup
1777824286.192155; Key.space; keyup
1777824286.266017; t; keydown
1777824286.3349807; t; keyup
1777824286.4022136; Key.ctrl_l; keydown
1777824286.4032564; Key.alt_gr; keydown
1777824286.5524075; ę; keydown
1777824286.6675391; ę; keyup
1777824286.7365785; Key.ctrl_l; keyup
1777824286.7386444; Key.alt_gr; keyup
1777824286.7957733; Key.space; keydown
1777824286.87763; Key.space; keyup
1777824286.9240665; s; keydown
1777824287.0164135; s; keyup
1777824287.0184293; i; keydown
1777824287.100776; i; keyup
1777824287.127926; e; keydown
1777824287.1994398; Key.ctrl_l; keydown
1777824287.2007725; Key.alt_gr; keydown
1777824287.2124016; ę; keyup
1777824287.3414686; ć; keydown
1777824287.4082744; ć; keyup
1777824287.4179764; Key.ctrl_l; keyup
1777824287.4194002; Key.alt_gr; keyup
1777824287.6830251; ,; keydown
1777824287.7638328; Key.space; keydown
1777824287.783731; ,; keyup
1777824287.842783; Key.space; keyup
1777824287.8922458; p; keydown
1777824287.9522486; r; keydown
1777824287.995733; p; keyup
1777824288.024278; r; keyup
1777824288.1388779; z; keydown
1777824288.2129767; z; keyup
1777824288.3190465; e; keydown
1777824288.3918917; e; keyup
1777824288.4129758; m; keydown
1777824288.488193; m; keyup
1777824288.523013; y; keydown
1777824288.595707; y; keyup
1777824288.6244004; Key.ctrl_l; keydown
1777824288.6265657; Key.alt_gr; keydown
1777824288.719999; ś; keydown
1777824288.8409677; ś; keyup
1777824288.8816824; Key.ctrl_l; keyup
1777824288.8823242; Key.alt_gr; keyup
1777824289.0168462; l; keydown
1777824289.1341827; l; keyup
1777824289.1387095; Key.space; keydown
1777824289.2448502; Key.space; keyup
1777824289.3053465; b; keydown
1777824289.400855; b; keyup
1777824289.4438255; Key.ctrl_l; keydown
1777824289.444583; Key.alt_gr; keydown
1777824289.5926917; ł; keydown
1777824289.6649487; ł; keyup
1777824289.6999035; Key.ctrl_l; keyup
1777824289.7004557; Key.alt_gr; keyup
1777824289.7498338; Key.ctrl_l; keydown
1777824289.7508044; Key.alt_gr; keydown
1777824289.9318538; Key.ctrl_l; keyup
1777824289.932503; Key.alt_gr; keyup
1777824289.9339976; a; keydown
1777824290.0242026; a; keyup
1777824290.1309779; d; keydown
1777824290.240868; d; keyup
1777824290.9095023; Key.backspace; keydown
1777824290.9757307; Key.backspace; keyup
1777824291.0290885; Key.backspace; keydown
1777824291.0981553; Key.backspace; keyup
1777824291.1018224; Key.ctrl_l; keydown
1777824291.103174; Key.alt_gr; keydown
1777824291.2037601; ą; keydown
1777824291.3110325; ą; keyup
1777824291.3117008; Key.ctrl_l; keyup
1777824291.3124595; Key.alt_gr; keyup
1777824291.429504; d; keydown
