1777824318.0899503; Key.alt_gr; keydown
1777824318.1880703; ź; keydown
1777824318.2633326; Key.ctrl_l; keyup
1777824318.2638915; Key.alt_gr; keyup
1777824318.27501; x; keyup
1777824318.3336215; n; keydown
1777824318.3844736; i; keydown
1777824318.4243484; n; keyup
1777824318.4701552; e; keydown
1777824318.4728012; i; keyup
1777824318.5454867; j; keydown
1777824318.565162; e; keyup
1777824318.6239696; Key.space; keydown
1777824318.652097; j; keyup
1777824318.7210846; Key.space; keyup
1777824318.834233; w; keydown
1777824318.9119859; Key.ctrl_l; keydown
1777824318.9123144; Key.alt_gr; keydown
1777824318.9241421; None; keyup
1777824319.0141685; ł; keydown
1777824319.0572255; ł; keyup
1777824319.089989; Key.ctrl_l; keyup
1777824319.0902288; Key.alt_gr; keyup
1777824319.157981; Key.ctrl_l; keydown
1777824319.1582944; Key.alt_gr; keydown
1777824319.271174; ą; keydown
1777824319.3560834; ą; keyup
1777824319.4059694; Key.ctrl_l; keyup
1777824319.4062684; Key.alt_gr; keyup
1777824319.4609666; c; keydown
1777824319.524458; c; keyup
1777824319.637581; z; keydown
1777824319.7396066; z; keyup
1777824319.742656; Key.space; keydown
1777824319.8417633; Key.space; keyup
1777824319.901291; t; keydown
1777824319.9800394; t; keyup
1777824320.0139465; Key.ctrl_l; keydown
1777824320.0143626; Key.alt_gr; keydown
1777824320.110659; ę; keydown
1777824320.2106283; ę; keyup
1777824320.2375796; Key.ctrl_l; keyup
1777824320.239022; Key.alt_gr; keyup
1777824320.357138; Key.space; keydown
1777824320.4339497; Key.space; keyup
1777824320.4655051; s; keydown
1777824320.5505435; i; keydown
1777824320.568039; s; keyup
1777824320.6244633; i; keyup
1777824320.670718; e; keydown
1777824320.7505891; Key.ctrl_l; keydown
1777824320.7516606; Key.alt_gr; keydown
1777824320.7541144; ę; keyup
1777824320.9680345; ć; keydown
1777824321.100998; ć; keyup
1777824321.1971807; Key.ctrl_l; keyup
1777824321.1980078; Key.alt_gr; keyup
1777824321.6121936; ,; keydown
1777824321.70815; Key.space; keydown
1777824321.7159688; ,; keyup
1777824321.8047965; Key.space; keyup
1777824321.8394463; p; keydown
1777824321.9035618; r; keydown
1777824321.931039; p; keyup
1777824321.9687667; r; keyup
1777824322.0868173; z; keydown
1777824322.1798315; z; keyup
1777824322.2771726; e; keydown
1777824322.3647287; e; keyup
1777824322.3928518; m; keydown
1777824322.4842515; m; keyup
1777824322.5013375; y; keydown
1777824322.5852041; y; keyup
1777824322.6123016; Key.ctrl_l; keydown
1777824322.613323; Key.alt_gr; keydown
1777824322.7368267; ś; keydown
1777824322.828885; ś; keyup
1777824322.8479378; Key.ctrl_l; keyup
1777824322.84845; Key.alt_gr; keyup
1777824322.9873338; l; keydown
1777824323.0943632; Key.space; keydown
1777824323.1086009; l; keyup
1777824323.2009392; Key.space; keyup
1777824323.2044637; b; keydown
1777824323.2983413; b; keyup
1777824323.3137522; Key.ctrl_l; keydown
1777824323.3141642; Key.alt_gr; keydown
1777824323.4338758; ł; keydown
1777824323.4738514; ł; keyup
1777824323.514245; Key.ctrl_l; keyup
1777824323.5157058; Key.alt_gr; keyup
1777824323.5747416; Key.ctrl_l; keydown
1777824323.576858; Key.alt_gr; keydown
1777824323.7086775; ą; keydown
1777824323.813741; Key.ctrl_l; keyup
1777824323.814081; Key.alt_gr; keyup
1777824323.8178627; a; keyup
1777824323.9371002; d; keydown
1777824324.0268257; d; keyup
1777824324.1043165; ,; keydown
1777824324.1872647; Key.space; keydown
1777824324.2238886; ,; keyup
1777824324.288001; Key.space; keyup
1777824324.401124; c; keydown
1777824324.4569898; c; keyup
1777824324.4792767; h; keydown
1777824324.5461617; h; keyup
1777824324.6558697; Key.ctrl_l; keydown
1777824324.6564653; Key.alt_gr; keydown
1777824324.7344246; ł; keydown
1777824324.8158717; Key.ctrl_l; keyup
1777824324.8166435; Key.alt_gr; keyup
1777824324.8221197; l; keyup
1777824324.9110465; o; keydown
1777824325.0032327; Key.ctrl_l; keydown
1777824325.0056782; Key.alt_gr; keydown
1777824325.00773; ó; keyup
1777824325.1767895; ń; keydown
1777824325.290569; ń; keyup
1777824325.3197832; Key.ctrl_l; keyup
1777824325.3202798; Key.alt_gr; keyup
1777824325.4104974; Key.space; keydown
1777824325.5082622; Key.space; keyup
1777824325.563206; d; keydown
1777824325.6673377; d; keyup
1777824325.7089539; Key.ctrl_l; keydown
1777824325.7095454; Key.alt_gr; keydown
1777824326.1030333; ż; keydown
1777824326.239833; ż; keyup
1777824326.357176; Key.ctrl_l; keyup
1777824326.3584158; Key.alt_gr; keyup
1777824326.6032224; Key.backspace; keydown
1777824326.6758378; Key.backspace; keyup
1777824326.6907809; Key.ctrl_l; keydown
1777824326.6916478; Key.alt_gr; keydown
1777824326.7795842; ź; keydown
1777824326.8942451; ź; keyup
1777824326.8970554; Key.ctrl_l; keyup
1777824326.8994384; Key.alt_gr; keyup
1777824327.003647; w; keydown
1777824327.0897274; i; keydown
