1777855198.8778043;w;keydown
1777855198.9767363;w;keyup
1777855199.3145497; ;keydown
1777855199.4265926; ;keyup
1777855199.7267737;s;keydown
1777855199.8196788;s;keyup
1777855200.1417658;z;keydown
1777855200.2296846;z;keyup
1777855200.6037207;c;keydown
1777855200.6746995;c;keyup
1777855201.0546658;z;keydown
1777855201.1406994;z;keyup
1777855201.4146867;e;keydown
1777855201.5117629;e;keyup
1777855201.8686876;b;keydown
1777855201.927706;b;keyup
1777855202.217668;r;keydown
1777855202.3316712;r;keyup
1777855202.6727543;z;keydown
1777855202.7927067;z;keyup
1777855203.0966895;e;keydown
1777855203.1963277;e;keyup
1777855203.4776783;s;keydown
1777855203.5686889;s;keyup
1777855203.9028444;z;keydown
1777855203.9656982;z;keyup
1777855204.320758;y;keydown
1777855204.4076989;y;keyup
1777855204.7238724;n;keydown
1777855204.8346617;n;keyup
1777855205.2905529;<ENTER>;keydown
1777855205.3825405;<ENTER>;keyup
1777855206.0437632;b;keydown
1777855206.1306748;b;keyup
1777855206.427691;i;keydown
1777855206.5216832;i;keyup
1777855206.8777199;o;keydown
1777855206.98766;o;keyup
1777855207.2446795;m;keydown
1777855207.3356829;m;keyup
1777855207.6458075;e;keydown
1777855207.7539446;e;keyup
1777855208.0577803;t;keydown
1777855208.1486688;t;keyup
1777855208.4446836;r;keydown
1777855208.5136876;r;keyup
1777855208.809578;<ENTER>;keydown
1777855208.9115334;<ENTER>;keyup
1777855209.6147487;p;keydown
1777855209.7277176;p;keyup
1777855209.999684;o;keydown
1777855210.1146824;o;keyup
1777855210.3397336;z;keydown
1777855210.4437702;z;keyup
1777855210.7797232;n;keydown
1777855210.8717256;n;keyup
1777855211.1986592;i;keydown
1777855211.2987733;i;keyup
1777855211.6067894;e;keydown
1777855211.6946607;e;keyup
1777855211.9867568;j;keydown
1777855212.0926862;j;keyup
1777855212.8895872;<ENTER>;keydown
1777855213.0296838;<ENTER>;keyup
